t x y
2.8 1.95715 0.0221741
2.81 1.98629 0.0219472
2.82 2.01587 0.0217289
2.83 2.04589 0.0215193
2.84 2.07637 0.0213181
2.85 2.1073 0.0211254
2.86 2.1387 0.0209409
2.87 2.17057 0.0207647
2.88 2.20292 0.0205966
2.89 2.23575 0.0204365
2.9 2.26908 0.0202843
2.91 2.30291 0.02014
2.92 2.33724 0.0200035
2.93 2.37209 0.0198747
2.94 2.40746 0.0197537
2.95 2.44337 0.0196405
2.96 2.47981 0.019535
2.97 2.51679 0.0194372
2.98 2.55434 0.0193472
2.99 2.59244 0.0192649
3 2.63112 0.0191903
3.01 2.67037 0.0191235
3.02 2.71021 0.0190643
3.03 2.75064 0.0190129
3.04 2.79168 0.0189693
3.05 2.83334 0.0189337
3.06 2.87561 0.018906
3.07 2.91852 0.0188865
3.08 2.96207 0.0188753
3.09 3.00627 0.0188723
3.1 3.05113 0.0188779
3.11 3.09665 0.0188919
3.12 3.14286 0.0189147
3.13 3.18976 0.0189461
3.14 3.23735 0.0189865
3.15 3.28565 0.0190361
3.16 3.33467 0.019095
3.17 3.38442 0.0191637
3.18 3.4349 0.0192423
3.19 3.48614 0.0193312
3.2 3.53815 0.0194306
3.21 3.59092 0.0195408
3.22 3.64448 0.019662
3.23 3.69883 0.0197946
3.24 3.75398 0.0199387
3.25 3.80995 0.0200949
3.26 3.86675 0.0202636
3.27 3.92439 0.0204454
3.28 3.98288 0.020641
3.29 4.04224 0.0208509
3.3 4.10247 0.0210758
3.31 4.16359 0.0213163
3.32 4.2256 0.0215729
3.33 4.28854 0.0218463
3.34 4.35239 0.022137
3.35 4.41719 0.0224458
3.36 4.48293 0.0227733
3.37 4.54964 0.0231208
3.38 4.61732 0.0234894
3.39 4.68599 0.0238805
3.4 4.75566 0.0242952
3.41 4.82635 0.0247348
3.42 4.89807 0.0252005
3.43 4.97083 0.0256934
3.44 5.04465 0.0262149
3.45 5.11953 0.0267661
3.46 5.1955 0.0273482
3.47 5.27256 0.0279631
3.48 5.35074 0.0286135
3.49 5.43003 0.0293024
3.5 5.51046 0.0300329
3.51 5.59204 0.0308079
3.52 5.67478 0.0316304
3.53 5.75869 0.0325034
3.54 5.8438 0.03343
3.55 5.9301 0.034413
3.56 6.01762 0.0354555
3.57 6.10636 0.0365605
3.58 6.19635 0.0377311
3.59 6.28758 0.0389723
3.6 6.38008 0.0402909
3.61 6.47385 0.0416938
3.62 6.5689 0.0431878
3.63 6.66525 0.04478
3.64 6.76289 0.046477
3.65 6.86184 0.048286
3.66 6.96212 0.0502136
3.67 7.06372 0.0522676
3.68 7.16665 0.0544599
3.69 7.27092 0.0568042
3.7 7.37652 0.0593141
3.71 7.48346 0.0620032
3.72 7.59174 0.0648854
3.73 7.70135 0.0679741
3.74 7.8123 0.0712838
3.75 7.92459 0.0748359
3.76 8.03819 0.0786559
3.77 8.15308 0.082769
3.78 8.26927 0.0872008
3.79 8.38672 0.0919767
3.8 8.50543 0.0971229
3.81 8.62536 0.102677
3.82 8.74647 0.108682
3.83 8.86873 0.115184
3.84 8.99208 0.122227
3.85 9.11648 0.129855
3.86 9.24188 0.138127
3.87 9.36819 0.147114
3.88 9.49533 0.156892
3.89 9.62321 0.167533
3.9 9.75174 0.179116
3.91 9.8808 0.191746
3.92 10.0102 0.20554
3.93 10.1399 0.220616
3.94 10.2696 0.237094
3.95 10.3992 0.255132
3.96 10.5285 0.274907
3.97 10.6571 0.2966
3.98 10.7849 0.320401
3.99 10.9114 0.346559
4 11.0364 0.375333
4.01 11.1595 0.406991
4.02 11.2802 0.441855
4.03 11.3981 0.48029
4.04 11.5125 0.522668
4.05 11.6229 0.569419
4.06 11.7286 0.621037
4.07 11.8288 0.678022
4.08 11.9227 0.740955
4.09 12.0095 0.810472
4.1 12.088 0.887232
4.11 12.1572 0.971987
4.12 12.216 1.06552
4.13 12.2629 1.16867
4.14 12.2968 1.28233
4.15 12.316 1.40742
4.16 12.319 1.54488
4.17 12.3044 1.69568
4.18 12.2703 1.86074
4.19 12.2153 2.04095
4.2 12.1376 2.23716
4.21 12.0359 2.45001
4.22 11.9085 2.68006
4.23 11.7544 2.92759
4.24 11.5727 3.19259
4.25 11.3625 3.47481
4.26 11.1239 3.77344
4.27 10.8568 4.08748
4.28 10.5622 4.41526
4.29 10.2416 4.75447
4.3 9.89651 5.10277
4.31 9.52941 5.45719
4.32 9.14337 5.81424
4.33 8.74167 6.1703
4.34 8.32812 6.52151
4.35 7.90666 6.86392
4.36 7.48129 7.1938
4.37 7.05602 7.50754
4.38 6.63476 7.80177
4.39 6.22093 8.07382
4.4 5.81783 8.3212
4.41 5.4281 8.54224
4.42 5.05395 8.73575
4.43 4.69722 8.90096
4.44 4.35901 9.03792
4.45 4.04025 9.14682
4.46 3.74124 9.22846
